COUNTRY_CODE,MEAN,GAIN,PCT_GAIN,COUNTRY_NAME
HTI,54.227737,21.495998,49.484344,Haiti
HUN,71.25418,8.767555,12.892861,Hungary
IBD,64.47396,28.598396,62.275707,IBRD only
IBT,62.262573,26.652508,58.773357,IDA & IBRD total
IDA,54.115925,22.855442,53.653694,IDA total
IDB,54.301987,19.91904,46.820824,IDA blend
IDN,61.67856,24.311005,51.907772,Indonesia
IDX,54.064693,24.430511,57.317238,IDA only
IMN,72.56273,16.442001,25.468966,Isle of Man
IND,58.652172,26.392998,57.86669,India
IRL,75.6811,12.66671,18.04522,Ireland
IRN,63.50608,34.357,79.35191,"Iran, Islamic Rep."
IRQ,63.180683,20.861996,40.53864,Iraq
ISL,78.392235,8.5672455,11.571093,Iceland
ITA,77.02325,14.576096,21.08691,Italy
JAM,69.8064,7.650997,11.986897,Jamaica
JOR,68.428345,25.136002,47.716316,Jordan
JPN,78.22428,16.345612,24.145748,Japan
KAZ,64.77417,16.456001,28.398857,Kazakhstan
KEN,57.769016,15.168999,31.291124,Kenya
KGZ,64.73703,17.220196,31.293184,Kyrgyz Republic
KHM,53.20083,28.534,67.72203,Cambodia
KIR,60.267845,18.515,38.606697,Kiribati
KNA,66.36231,15.3049965,26.926455,St. Kitts and Nevis
KOR,71.222015,29.631706,55.080013,"Korea, Rep."
KWT,73.51602,23.984463,40.51201,Kuwait
LAC,66.54115,21.139603,38.88887,Latin America & Caribbean (excluding high income)
LAO,54.562096,27.927998,68.05731,Lao PDR
LBN,69.03903,13.890003,21.727913,Lebanon
LBR,48.527,24.089996,63.273174,Liberia
LBY,65.38773,28.586998,70.1487,Libya
LCA,68.92189,14.831997,25.632069,St. Lucia
LCN,67.04616,20.566212,37.340622,Latin America & Caribbean
LDC,52.702347,25.364063,61.635017,Least developed countries: UN classification
LIC,52.305195,22.899239,55.021564,Low income
LIE,77.53937,13.953239,19.68344,Liechtenstein
LKA,69.48283,16.881,27.855515,Sri Lanka
LMC,58.198586,23.766186,51.857056,Lower middle income
LMY,61.89943,28.508991,65.591255,Low & middle income
LSO,52.644203,7.2039986,14.358891,Lesotho
LTE,67.45602,33.224594,75.673515,Late-demographic dividend
LTU,71.7901,7.1404877,10.222995,Lithuania
LUX,75.463326,14.557976,21.159676,Luxembourg
LVA,70.77672,5.89122,8.441736,Latvia
MAC,75.95713,19.39973,30.416275,"Macao SAR, China"
MAF,74.79915,12.575996,18.590345,St. Martin (French part)
MAR,61.076706,33.583004,80.47688,Morocco
MCO,79.31645,14.511002,20.193151,Monaco
MDA,66.37387,11.757999,19.781292,Moldova
